iter	Passed	Remaining
0	176	175906
1	189	94410
2	201	66914
3	212	52914
4	222	44312
5	229	38102
6	239	33958
7	247	30635
8	256	28244
9	264	26177
10	274	24660
11	281	23205
12	291	22126
13	299	21075
14	308	20271
15	317	19527
16	325	18803
17	335	18277
18	342	17664
19	351	17210
20	358	16729
21	368	16398
22	378	16098
23	391	15909
24	403	15737
25	410	15389
26	421	15200
27	429	14896
28	438	14675
29	445	14400
30	454	14211
31	461	13963
32	470	13794
33	477	13571
34	487	13435
35	494	13240
36	503	13099
37	510	12919
38	519	12796
39	531	12759
40	544	12737
41	556	12700
42	576	12828
43	622	13529
44	658	13985
45	684	14202
46	704	14283
47	722	14339
48	740	14373
49	753	14318
50	767	14285
51	779	14218
52	799	14283
53	813	14259
54	825	14175
55	837	14120
56	847	14028
57	855	13888
58	867	13843
59	875	13715
60	883	13600
61	893	13523
62	901	13403
63	910	13320
64	918	13209
65	929	13159
66	936	13046
67	946	12977
68	953	12870
69	963	12805
70	970	12703
71	979	12629
72	987	12545
73	998	12498
74	1006	12411
75	1017	12373
76	1028	12326
77	1035	12239
78	1045	12185
79	1052	12099
80	1061	12042
81	1068	11960
82	1077	11903
83	1084	11825
84	1094	11776
85	1100	11701
86	1110	11656
87	1117	11586
88	1130	11575
89	1139	11519
90	1147	11460
91	1155	11401
92	1163	11350
93	1172	11301
94	1181	11250
95	1191	11219
96	1204	11215
97	1215	11188
98	1228	11176
99	1237	11137
100	1245	11083
101	1253	11036
102	1261	10983
103	1268	10932
104	1277	10885
105	1286	10847
106	1296	10822
107	1307	10801
108	1315	10753
109	1325	10725
110	1333	10677
111	1343	10649
112	1350	10599
113	1358	10561
114	1365	10512
115	1375	10478
116	1382	10431
117	1391	10402
118	1399	10359
119	1407	10324
120	1415	10283
121	1424	10248
122	1431	10210
123	1441	10182
124	1450	10153
125	1458	10115
126	1467	10086
127	1475	10049
128	1484	10021
129	1491	9983
130	1501	9959
131	1511	9941
132	1521	9916
133	1528	9881
134	1539	9863
135	1546	9826
136	1556	9802
137	1563	9763
138	1572	9739
139	1579	9704
140	1591	9696
141	1606	9705
142	1619	9703
143	1630	9695
144	1642	9685
145	1654	9675
146	1666	9668
147	1676	9653
148	1688	9646
149	1701	9639
150	1711	9623
151	1723	9612
152	1734	9600
153	1746	9593
154	1757	9579
155	1769	9573
156	1781	9568
157	1792	9554
158	1805	9547
159	1817	9541
160	1831	9544
161	1842	9529
162	1854	9522
163	1866	9516
164	1878	9508
165	1889	9494
166	1901	9487
167	1914	9482
168	1926	9472
169	1938	9465
170	1951	9460
171	1963	9452
172	1984	9485
173	2044	9707
174	2094	9875
175	2136	10001
176	2205	10255
177	2235	10324
178	2257	10352
179	2272	10353
180	2283	10331
181	2293	10307
182	2301	10274
183	2310	10248
184	2319	10216
185	2329	10193
186	2337	10161
187	2346	10134
188	2354	10101
189	2362	10073
190	2370	10040
191	2379	10015
192	2387	9984
193	2397	9959
194	2406	9932
195	2413	9900
196	2421	9871
197	2435	9864
198	2459	9899
199	2482	9931
200	2513	9991
201	2529	9993
202	2547	10001
203	2559	9988
204	2569	9962
205	2580	9944
206	2590	9923
207	2598	9895
208	2610	9881
209	2619	9855
210	2628	9827
211	2636	9801
212	2645	9773
213	2654	9750
214	2663	9724
215	2673	9702
216	2680	9672
217	2689	9649
218	2698	9622
219	2707	9600
220	2716	9575
221	2725	9552
222	2734	9528
223	2744	9506
224	2753	9485
225	2762	9460
226	2772	9440
227	2781	9417
